algorithm,assumed_cdd_delay_samples,bc_g_0p5_sc,bc_h_0p5_sc,case_id,ce_nmse_branch_mean,ce_nmse_branch_median,ce_nmse_eff_mean,ce_nmse_eff_median,cond_number,covariance,delay_error_ns,delay_error_samples,delay_spread_ns,dmrs_spacing_sc,effective_rank,gain_vs_alg1_same_error_db,pilot_count,pilot_count_combined,pilot_count_per_port,processing_bandwidth_rb,processing_bandwidth_sc,snr_db,support_len,total_pilot_re_relative,trials,true_cdd_delay_samples
Alg1 Direct RMMSE,120,11,,smooth_ds1_d128_sf6_snr8,nan,nan,0.48325502228454587,0.5071079781686478,,CDD-shifted PDP,-65.10416666666667,-8,1.0,6,,0.0,96,96,,48.0,576,8.0,,,100,128
Alg2 Basis E99,120,11,,smooth_ds1_d128_sf6_snr8,0.6018511713912147,0.639771487925763,0.48573598825564823,0.5097078405958468,1.0076279562073283,,-65.10416666666667,-8,1.0,6,1.9999711282147257,-0.02223905431030099,,96,,,,8.0,1,,100,128
Alg3 Port-DMRS equal-total,120,11,,smooth_ds1_d128_sf6_snr8,0.001727631599466565,0.0015924331413184694,1.0834407247692008,1.1375274569620217,,,-65.10416666666667,-8,1.0,6,,-3.5062877979858835,,96,48,,,8.0,,1.0,100,128
Alg1 Direct RMMSE,124,11,,smooth_ds1_d128_sf6_snr8,nan,nan,0.3312913552639335,0.32677639053328206,,CDD-shifted PDP,-32.552083333333336,-4,1.0,6,,0.0,96,96,,48.0,576,8.0,,,100,128
Alg2 Basis E99,124,11,,smooth_ds1_d128_sf6_snr8,0.09874553656000229,0.09452435637412268,0.3377480404281854,0.33295704578426333,1.0190957546320558,,-32.552083333333336,-4,1.0,6,1.9998211244543374,-0.08382734455090815,,96,,,,8.0,1,,100,128
Alg3 Port-DMRS equal-total,124,11,,smooth_ds1_d128_sf6_snr8,0.0018274532786904845,0.0016189941811113062,0.4335121970312467,0.42028610800594357,,,-32.552083333333336,-4,1.0,6,,-1.1679121750114134,,96,48,,,8.0,,1.0,100,128
Alg1 Direct RMMSE,126,11,,smooth_ds1_d128_sf6_snr8,nan,nan,0.11740919170291898,0.11592402205013558,,CDD-shifted PDP,-16.276041666666668,-2,1.0,6,,0.0,96,96,,48.0,576,8.0,,,100,128
Alg2 Basis E99,126,11,,smooth_ds1_d128_sf6_snr8,0.010189524532998238,0.010006292271432444,0.12000559496370339,0.11852268127291506,1.0148062228984158,,-16.276041666666668,-2,1.0,6,1.999891998809678,-0.09499396238625606,,96,,,,8.0,1,,100,128
Alg3 Port-DMRS equal-total,126,11,,smooth_ds1_d128_sf6_snr8,0.00188086451615745,0.001617427719188568,0.1277342071576008,0.1282111290673731,,,-16.276041666666668,-2,1.0,6,,-0.3660511850122627,,96,48,,,8.0,,1.0,100,128
Alg1 Direct RMMSE,127,11,,smooth_ds1_d128_sf6_snr8,nan,nan,0.03274357049856938,0.03217843866881254,,CDD-shifted PDP,-8.138020833333334,-1,1.0,6,,0.0,96,96,,48.0,576,8.0,,,100,128
Alg2 Basis E99,127,11,,smooth_ds1_d128_sf6_snr8,0.0023873901997467604,0.0021918951262098105,0.03345300811659994,0.03285821708507998,1.0081049708011487,,-8.138020833333334,-1,1.0,6,1.9999674198553807,-0.09309140926006648,,96,,,,8.0,1,,100,128
