base_seed,bler,cb_bler,cb_errors,cdd_delay_vector,ce_method,ce_nmse_branch,ce_nmse_eff,channel_model,coded_bits,common_random_numbers,cond_number,data_re,delay_spread_ns,dmrs_overhead,dmrs_spacing_sc,dmrs_symbols,effective_rank,goodput_bits_per_slot,goodput_se_per_re,mcs_index,mcs_table,n_cbs,n_dmrs_re,n_rx,n_trials,n_tx,noise_var,pdsch_rb,pdsch_symbols,prg_codebook,prg_size_rb,scenario_id,snr_db,speed_kmh,tb_errors,tbs_bits,tx_scheme,variant_id
3466941217,1.0,1.0,40,"0,16",RMMSE_WB_KNOWN,nan,0.12304952237692088,tdl,22272,True,nan,5568,30.0,0.03333333333333333,6,2,nan,0.0,0.0,8,nr_256qam,4,192,4,10,2,3.9810717055349722,48,10,qpsk_dft,4,fig10_static_ds30,-6.0,0.0,10,12024,CDD,direct_rmmse_wb_d16
2746600299,1.0,1.0,40,"0,16",RMMSE_WB_KNOWN,nan,0.0740756995620221,tdl,22272,True,nan,5568,30.0,0.03333333333333333,6,2,nan,0.0,0.0,8,nr_256qam,4,192,4,10,2,2.51188643150958,48,10,qpsk_dft,4,fig10_static_ds30,-4.0,0.0,10,12024,CDD,direct_rmmse_wb_d16
576198765,1.0,1.0,40,"0,16",RMMSE_WB_KNOWN,nan,0.0514701504870422,tdl,22272,True,nan,5568,30.0,0.03333333333333333,6,2,nan,0.0,0.0,8,nr_256qam,4,192,4,10,2,1.5848931924611136,48,10,qpsk_dft,4,fig10_static_ds30,-2.0,0.0,10,12024,CDD,direct_rmmse_wb_d16
3203262578,1.0,1.0,40,"0,16",RMMSE_WB_KNOWN,nan,0.03450898338246822,tdl,22272,True,nan,5568,30.0,0.03333333333333333,6,2,nan,0.0,0.0,8,nr_256qam,4,192,4,10,2,1.0,48,10,qpsk_dft,4,fig10_static_ds30,0.0,0.0,10,12024,CDD,direct_rmmse_wb_d16
2498590300,1.0,0.825,33,"0,16",RMMSE_WB_KNOWN,nan,0.02403039804689474,tdl,22272,True,nan,5568,30.0,0.03333333333333333,6,2,nan,2104.2,0.3779094827586207,8,nr_256qam,4,192,4,10,2,0.6309573444801932,48,10,qpsk_dft,4,fig10_static_ds30,2.0,0.0,10,12024,CDD,direct_rmmse_wb_d16
2475620830,0.3,0.2,8,"0,16",RMMSE_WB_KNOWN,nan,0.013347918010590949,tdl,22272,True,nan,5568,30.0,0.03333333333333333,6,2,nan,9619.2,1.7275862068965517,8,nr_256qam,4,192,4,10,2,0.3981071705534972,48,10,qpsk_dft,4,fig10_static_ds30,4.0,0.0,3,12024,CDD,direct_rmmse_wb_d16
3902815144,0.0,0.0,0,"0,16",RMMSE_WB_KNOWN,nan,0.010878409006335769,tdl,22272,True,nan,5568,30.0,0.03333333333333333,6,2,nan,12024.0,2.1594827586206895,8,nr_256qam,4,192,4,10,2,0.251188643150958,48,10,qpsk_dft,4,fig10_static_ds30,6.0,0.0,0,12024,CDD,direct_rmmse_wb_d16
3047997818,0.0,0.0,0,"0,16",RMMSE_WB_KNOWN,nan,0.0059738463169080975,tdl,22272,True,nan,5568,30.0,0.03333333333333333,6,2,nan,12024.0,2.1594827586206895,8,nr_256qam,4,192,4,10,2,0.15848931924611134,48,10,qpsk_dft,4,fig10_static_ds30,8.0,0.0,0,12024,CDD,direct_rmmse_wb_d16
3466941217,1.0,1.0,40,"0,32",RMMSE_WB_KNOWN,nan,0.12907629304229423,tdl,22272,True,nan,5568,30.0,0.03333333333333333,6,2,nan,0.0,0.0,8,nr_256qam,4,192,4,10,2,3.9810717055349722,48,10,qpsk_dft,4,fig10_static_ds30,-6.0,0.0,10,12024,CDD,direct_rmmse_wb_d32
2746600299,1.0,1.0,40,"0,32",RMMSE_WB_KNOWN,nan,0.09210406892585338,tdl,22272,True,nan,5568,30.0,0.03333333333333333,6,2,nan,0.0,0.0,8,nr_256qam,4,192,4,10,2,2.51188643150958,48,10,qpsk_dft,4,fig10_static_ds30,-4.0,0.0,10,12024,CDD,direct_rmmse_wb_d32
576198765,1.0,1.0,40,"0,32",RMMSE_WB_KNOWN,nan,0.06109038521799469,tdl,22272,True,nan,5568,30.0,0.03333333333333333,6,2,nan,0.0,0.0,8,nr_256qam,4,192,4,10,2,1.5848931924611136,48,10,qpsk_dft,4,fig10_static_ds30,-2.0,0.0,10,12024,CDD,direct_rmmse_wb_d32
