base_seed,bler,cb_bler,cb_errors,cdd_delay_vector,ce_method,ce_nmse_branch,ce_nmse_eff,channel_model,coded_bits,common_random_numbers,cond_number,data_re,delay_spread_ns,dmrs_overhead,dmrs_spacing_sc,dmrs_symbols,effective_rank,goodput_bits_per_slot,goodput_se_per_re,mcs_index,mcs_table,n_cbs,n_dmrs_re,n_rx,n_trials,n_tx,noise_var,pdsch_rb,pdsch_symbols,prg_codebook,prg_size_rb,scenario_id,snr_db,speed_kmh,tb_errors,tbs_bits,tx_scheme,variant_id
154750473,1.0,1.0,40,"0,16",RMMSE_WB_KNOWN,nan,0.10177306561075938,tdl,22272,True,nan,5568,30.0,0.03333333333333333,6,2,nan,0.0,0.0,8,nr_256qam,4,192,4,10,2,3.9810717055349722,48,10,qpsk_dft,4,fig10_static_ds30_d16,-6.0,0.0,10,12024,CDD,direct_rmmse_wb
1597510259,1.0,1.0,40,"0,16",RMMSE_WB_KNOWN,nan,0.08312956597279726,tdl,22272,True,nan,5568,30.0,0.03333333333333333,6,2,nan,0.0,0.0,8,nr_256qam,4,192,4,10,2,2.51188643150958,48,10,qpsk_dft,4,fig10_static_ds30_d16,-4.0,0.0,10,12024,CDD,direct_rmmse_wb
1574540789,1.0,1.0,40,"0,16",RMMSE_WB_KNOWN,nan,0.04420226845262526,tdl,22272,True,nan,5568,30.0,0.03333333333333333,6,2,nan,0.0,0.0,8,nr_256qam,4,192,4,10,2,1.5848931924611136,48,10,qpsk_dft,4,fig10_static_ds30_d16,-2.0,0.0,10,12024,CDD,direct_rmmse_wb
829403226,1.0,1.0,40,"0,16",RMMSE_WB_KNOWN,nan,0.03811976316126618,tdl,22272,True,nan,5568,30.0,0.03333333333333333,6,2,nan,0.0,0.0,8,nr_256qam,4,192,4,10,2,1.0,48,10,qpsk_dft,4,fig10_static_ds30_d16,0.0,0.0,10,12024,CDD,direct_rmmse_wb
109062308,0.8,0.775,31,"0,16",RMMSE_WB_KNOWN,nan,0.02169711108237389,tdl,22272,True,nan,5568,30.0,0.03333333333333333,6,2,nan,2705.4,0.4858836206896552,8,nr_256qam,4,192,4,10,2,0.6309573444801932,48,10,qpsk_dft,4,fig10_static_ds30_d16,2.0,0.0,8,12024,CDD,direct_rmmse_wb
3854622086,0.2,0.175,7,"0,16",RMMSE_WB_KNOWN,nan,0.015505664186783296,tdl,22272,True,nan,5568,30.0,0.03333333333333333,6,2,nan,9919.8,1.781573275862069,8,nr_256qam,4,192,4,10,2,0.3981071705534972,48,10,qpsk_dft,4,fig10_static_ds30_d16,4.0,0.0,2,12024,CDD,direct_rmmse_wb
986849104,0.0,0.0,0,"0,16",RMMSE_WB_KNOWN,nan,0.00984592750265048,tdl,22272,True,nan,5568,30.0,0.03333333333333333,6,2,nan,12024.0,2.1594827586206895,8,nr_256qam,4,192,4,10,2,0.251188643150958,48,10,qpsk_dft,4,fig10_static_ds30_d16,6.0,0.0,0,12024,CDD,direct_rmmse_wb
963879634,0.0,0.0,0,"0,16",RMMSE_WB_KNOWN,nan,0.0067992801054833196,tdl,22272,True,nan,5568,30.0,0.03333333333333333,6,2,nan,12024.0,2.1594827586206895,8,nr_256qam,4,192,4,10,2,0.15848931924611134,48,10,qpsk_dft,4,fig10_static_ds30_d16,8.0,0.0,0,12024,CDD,direct_rmmse_wb
154750473,1.0,1.0,40,"0,16",RECON_BASIS_LMMSE,0.14631866178859354,0.10197479160232288,tdl,22272,True,6020979474557.117,5568,30.0,0.03333333333333333,6,2,4.980125406923934,0.0,0.0,8,nr_256qam,4,192,4,10,2,3.9810717055349722,48,10,qpsk_dft,4,fig10_static_ds30_d16,-6.0,0.0,10,12024,CDD,structural_basis
1597510259,1.0,1.0,40,"0,16",RECON_BASIS_LMMSE,0.12387555812309303,0.08304172375306854,tdl,22272,True,6020979474557.117,5568,30.0,0.03333333333333333,6,2,4.980125406923934,0.0,0.0,8,nr_256qam,4,192,4,10,2,2.51188643150958,48,10,qpsk_dft,4,fig10_static_ds30_d16,-4.0,0.0,10,12024,CDD,structural_basis
1574540789,1.0,1.0,40,"0,16",RECON_BASIS_LMMSE,0.08411461709795412,0.044701730176424606,tdl,22272,True,6020979474557.117,5568,30.0,0.03333333333333333,6,2,4.980125406923934,0.0,0.0,8,nr_256qam,4,192,4,10,2,1.5848931924611136,48,10,qpsk_dft,4,fig10_static_ds30_d16,-2.0,0.0,10,12024,CDD,structural_basis
829403226,1.0,1.0,40,"0,16",RECON_BASIS_LMMSE,0.08129477871250243,0.03849983814433765,tdl,22272,True,6020979474557.117,5568,30.0,0.03333333333333333,6,2,4.980125406923934,0.0,0.0,8,nr_256qam,4,192,4,10,2,1.0,48,10,qpsk_dft,4,fig10_static_ds30_d16,0.0,0.0,10,12024,CDD,structural_basis
109062308,0.8,0.775,31,"0,16",RECON_BASIS_LMMSE,0.05164908579840766,0.023323492578986228,tdl,22272,True,6020979474557.117,5568,30.0,0.03333333333333333,6,2,4.980125406923934,2705.4,0.4858836206896552,8,nr_256qam,4,192,4,10,2,0.6309573444801932,48,10,qpsk_dft,4,fig10_static_ds30_d16,2.0,0.0,8,12024,CDD,structural_basis
3854622086,0.2,0.175,7,"0,16",RECON_BASIS_LMMSE,0.056996063870352075,0.01692916312608799,tdl,22272,True,6020979474557.117,5568,30.0,0.03333333333333333,6,2,4.980125406923934,9919.8,1.781573275862069,8,nr_256qam,4,192,4,10,2,0.3981071705534972,48,10,qpsk_dft,4,fig10_static_ds30_d16,4.0,0.0,2,12024,CDD,structural_basis
986849104,0.0,0.0,0,"0,16",RECON_BASIS_LMMSE,0.04761971737987216,0.010823691353199199,tdl,22272,True,6020979474557.117,5568,30.0,0.03333333333333333,6,2,4.980125406923934,12024.0,2.1594827586206895,8,nr_256qam,4,192,4,10,2,0.251188643150958,48,10,qpsk_dft,4,fig10_static_ds30_d16,6.0,0.0,0,12024,CDD,structural_basis
