algorithm,basis_energy_threshold,bc05_sc_original,bc09_sc_original,bc_threshold,block_width_mhz,block_width_sc,case_id,cdd_delay_ns,cdd_delay_samples,ce_nmse_branch_mean,ce_nmse_branch_median,ce_nmse_eff_mean,ce_nmse_eff_median,cond_mean,cond_number,covariance,delay_spread_ns,dmrs_spacing_sc,dmrs_symbols,effective_rank,family,n_blocks,n_prbs,n_sc,n_unknown_taps,noise_var_ls,overhead_mode,pilot_count,pilot_count_combined,pilot_count_per_port,processing_bandwidth_rb,processing_bandwidth_sc,snr_db,support_len,total_pilot_re_relative,trials
Alg1 Direct RMMSE WB 576sc,,,,,,,flat_ds1_d64_sf2,520.8333333333334,64,nan,nan,0.01522078832540894,0.013584311167426446,,,CDD-shifted PDP,1.0,2,2,,alg1_direct_rmmse,,48,576,,1.9905358527674861,,288,288,,48.0,576,-6.0,,,100
Alg2 Basis LMMSE E90,0.9,,,,,,flat_ds1_d64_sf2,520.8333333333334,64,0.015219853864664689,0.01357264001788484,0.015220789726522646,0.013584684083176351,,1.0000000000000007,,1.0,2,2,2.0,alg2_basis_reduced_support,,48,576,2,1.9905358527674861,,288,288,,,,-6.0,1,,100
Alg2 Basis LMMSE E95,0.95,,,,,,flat_ds1_d64_sf2,520.8333333333334,64,0.015219853864664689,0.01357264001788484,0.015220789726522646,0.013584684083176351,,1.0000000000000007,,1.0,2,2,2.0,alg2_basis_reduced_support,,48,576,2,1.9905358527674861,,288,288,,,,-6.0,1,,100
Alg2 Basis LMMSE E99,0.99,,,,,,flat_ds1_d64_sf2,520.8333333333334,64,0.015219853864664689,0.01357264001788484,0.015220789726522646,0.013584684083176351,,1.0000000000000007,,1.0,2,2,2.0,alg2_basis_reduced_support,,48,576,2,1.9905358527674861,,288,288,,,,-6.0,1,,100
Alg2 CoherenceBlock Bc0.9,,,,0.9,17.28,576,flat_ds1_d64_sf2,520.8333333333334,64,0.015219856574728307,0.013572684941540198,0.01522079235793256,0.013584729943830209,1.0000000000000002,1.0000000000000002,,1.0,2,2,,alg2_coherence_block,1,48,576,,1.9905358527674861,,,288,,,,-6.0,,,100
Alg3 Port-DMRS RMMSE equal-total,,,,,,,flat_ds1_d64_sf2,520.8333333333334,64,0.01441063869323144,0.012969547295883664,0.014413864104177337,0.012982112664646465,,,,1.0,2,2,,alg3_port_dmrs,,48,576,,1.9905358527674861,equal_total_overhead,,288,144,,,-6.0,,1.0,100
Alg3 Port-DMRS RMMSE equal-per-port,,,,,,,flat_ds1_d64_sf2,520.8333333333334,64,0.007388382642678004,0.006496201935553659,0.007386666711633703,0.0064980263497441786,,,,1.0,2,2,,alg3_port_dmrs,,48,576,,1.9905358527674861,equal_per_port_density,,288,288,,,-6.0,,2.0,100
Alg1 Direct RMMSE WB 576sc,,,,,,,flat_ds1_d64_sf2,520.8333333333334,64,nan,nan,0.010457550949839084,0.00973307930984272,,,CDD-shifted PDP,1.0,2,2,,alg1_direct_rmmse,,48,576,,1.25594321575479,,288,288,,48.0,576,-4.0,,,100
Alg2 Basis LMMSE E90,0.9,,,,,,flat_ds1_d64_sf2,520.8333333333334,64,0.010454945623036066,0.009733525779067225,0.010457530208013018,0.009734124104958457,,1.0000000000000007,,1.0,2,2,2.0,alg2_basis_reduced_support,,48,576,2,1.25594321575479,,288,288,,,,-4.0,1,,100
Alg2 Basis LMMSE E95,0.95,,,,,,flat_ds1_d64_sf2,520.8333333333334,64,0.010454945623036066,0.009733525779067225,0.010457530208013018,0.009734124104958457,,1.0000000000000007,,1.0,2,2,2.0,alg2_basis_reduced_support,,48,576,2,1.25594321575479,,288,288,,,,-4.0,1,,100
Alg2 Basis LMMSE E99,0.99,,,,,,flat_ds1_d64_sf2,520.8333333333334,64,0.010454945623036066,0.009733525779067225,0.010457530208013018,0.009734124104958457,,1.0000000000000007,,1.0,2,2,2.0,alg2_basis_reduced_support,,48,576,2,1.25594321575479,,288,288,,,,-4.0,1,,100
Alg2 CoherenceBlock Bc0.9,,,,0.9,17.28,576,flat_ds1_d64_sf2,520.8333333333334,64,0.010454953759663257,0.009733399301416139,0.010457538421857622,0.00973399768073636,1.0000000000000002,1.0000000000000002,,1.0,2,2,,alg2_coherence_block,1,48,576,,1.25594321575479,,,288,,,,-4.0,,,100
Alg3 Port-DMRS RMMSE equal-total,,,,,,,flat_ds1_d64_sf2,520.8333333333334,64,0.010478832233629417,0.008573345388104482,0.010476937056790486,0.008570913521536425,,,,1.0,2,2,,alg3_port_dmrs,,48,576,,1.25594321575479,equal_total_overhead,,288,144,,,-4.0,,1.0,100
Alg3 Port-DMRS RMMSE equal-per-port,,,,,,,flat_ds1_d64_sf2,520.8333333333334,64,0.0057834784755559695,0.005226338987831688,0.005784857522658477,0.005235094543387338,,,,1.0,2,2,,alg3_port_dmrs,,48,576,,1.25594321575479,equal_per_port_density,,288,288,,,-4.0,,2.0,100
Alg1 Direct RMMSE WB 576sc,,,,,,,flat_ds1_d64_sf2,520.8333333333334,64,nan,nan,0.006378693213611095,0.005944673536783459,,,CDD-shifted PDP,1.0,2,2,,alg1_direct_rmmse,,48,576,,0.7924465962305568,,288,288,,48.0,576,-2.0,,,100
Alg2 Basis LMMSE E90,0.9,,,,,,flat_ds1_d64_sf2,520.8333333333334,64,0.006380152067218767,0.005958119795259758,0.006378676290843071,0.0059453789468422065,,1.0000000000000007,,1.0,2,2,2.0,alg2_basis_reduced_support,,48,576,2,0.7924465962305568,,288,288,,,,-2.0,1,,100
Alg2 Basis LMMSE E95,0.95,,,,,,flat_ds1_d64_sf2,520.8333333333334,64,0.006380152067218767,0.005958119795259758,0.006378676290843071,0.0059453789468422065,,1.0000000000000007,,1.0,2,2,2.0,alg2_basis_reduced_support,,48,576,2,0.7924465962305568,,288,288,,,,-2.0,1,,100
Alg2 Basis LMMSE E99,0.99,,,,,,flat_ds1_d64_sf2,520.8333333333334,64,0.006380152067218767,0.005958119795259758,0.006378676290843071,0.0059453789468422065,,1.0000000000000007,,1.0,2,2,2.0,alg2_basis_reduced_support,,48,576,2,0.7924465962305568,,288,288,,,,-2.0,1,,100
Alg2 CoherenceBlock Bc0.9,,,,0.9,17.28,576,flat_ds1_d64_sf2,520.8333333333334,64,0.006380158670340108,0.005958139223295678,0.006378682902821339,0.005945398337135751,1.0000000000000002,1.0000000000000002,,1.0,2,2,,alg2_coherence_block,1,48,576,,0.7924465962305568,,,288,,,,-2.0,,,100
Alg3 Port-DMRS RMMSE equal-total,,,,,,,flat_ds1_d64_sf2,520.8333333333334,64,0.005834624990321125,0.005496948754774796,0.005834408838349021,0.005494548961684028,,,,1.0,2,2,,alg3_port_dmrs,,48,576,,0.7924465962305568,equal_total_overhead,,288,144,,,-2.0,,1.0,100
Alg3 Port-DMRS RMMSE equal-per-port,,,,,,,flat_ds1_d64_sf2,520.8333333333334,64,0.003250463476471142,0.0028183788720025343,0.0032495789390290823,0.0028191788790931788,,,,1.0,2,2,,alg3_port_dmrs,,48,576,,0.7924465962305568,equal_per_port_density,,288,288,,,-2.0,,2.0,100
Alg1 Direct RMMSE WB 576sc,,,,,,,flat_ds1_d64_sf2,520.8333333333334,64,nan,nan,0.003840879744018767,0.0035495443509665713,,,CDD-shifted PDP,1.0,2,2,,alg1_direct_rmmse,,48,576,,0.5,,288,288,,48.0,576,0.0,,,100
Alg2 Basis LMMSE E90,0.9,,,,,,flat_ds1_d64_sf2,520.8333333333334,64,0.0038417650043979317,0.0035469816014906275,0.003840970644369358,0.003549013733005803,,1.0000000000000007,,1.0,2,2,2.0,alg2_basis_reduced_support,,48,576,2,0.5,,288,288,,,,0.0,1,,100
