algorithm,case_id,metadata,snr_db
Alg1 Direct RMMSE WB 576sc,flat_ds1_d64_sf2,"{""covariance"": ""CDD-shifted PDP"", ""pilot_count"": 288, ""processing_bandwidth_rb"": 48.0, ""processing_bandwidth_sc"": 576}",-6.0
Alg2 Basis LMMSE E90,flat_ds1_d64_sf2,"{""basis_energy_threshold"": 0.9, ""cond_number"": 1.0000000000000007, ""effective_rank"": 2.0, ""n_unknown_taps"": 2, ""pilot_count"": 288, ""support_len"": 1}",-6.0
Alg2 Basis LMMSE E95,flat_ds1_d64_sf2,"{""basis_energy_threshold"": 0.95, ""cond_number"": 1.0000000000000007, ""effective_rank"": 2.0, ""n_unknown_taps"": 2, ""pilot_count"": 288, ""support_len"": 1}",-6.0
Alg2 Basis LMMSE E99,flat_ds1_d64_sf2,"{""basis_energy_threshold"": 0.99, ""cond_number"": 1.0000000000000007, ""effective_rank"": 2.0, ""n_unknown_taps"": 2, ""pilot_count"": 288, ""support_len"": 1}",-6.0
Alg2 CoherenceBlock Bc0.9,flat_ds1_d64_sf2,"{""bc_threshold"": 0.9, ""block_width_mhz"": 17.28, ""block_width_sc"": 576, ""cond_mean"": 1.0000000000000002, ""cond_number"": 1.0000000000000002, ""n_blocks"": 1}",-6.0
Alg3 Port-DMRS RMMSE equal-total,flat_ds1_d64_sf2,"{""overhead_mode"": ""equal_total_overhead"", ""pilot_count_per_port"": 144, ""total_pilot_re_relative"": 1.0}",-6.0
Alg3 Port-DMRS RMMSE equal-per-port,flat_ds1_d64_sf2,"{""overhead_mode"": ""equal_per_port_density"", ""pilot_count_per_port"": 288, ""total_pilot_re_relative"": 2.0}",-6.0
Alg1 Direct RMMSE WB 576sc,flat_ds1_d64_sf2,"{""covariance"": ""CDD-shifted PDP"", ""pilot_count"": 288, ""processing_bandwidth_rb"": 48.0, ""processing_bandwidth_sc"": 576}",-4.0
Alg2 Basis LMMSE E90,flat_ds1_d64_sf2,"{""basis_energy_threshold"": 0.9, ""cond_number"": 1.0000000000000007, ""effective_rank"": 2.0, ""n_unknown_taps"": 2, ""pilot_count"": 288, ""support_len"": 1}",-4.0
Alg2 Basis LMMSE E95,flat_ds1_d64_sf2,"{""basis_energy_threshold"": 0.95, ""cond_number"": 1.0000000000000007, ""effective_rank"": 2.0, ""n_unknown_taps"": 2, ""pilot_count"": 288, ""support_len"": 1}",-4.0
Alg2 Basis LMMSE E99,flat_ds1_d64_sf2,"{""basis_energy_threshold"": 0.99, ""cond_number"": 1.0000000000000007, ""effective_rank"": 2.0, ""n_unknown_taps"": 2, ""pilot_count"": 288, ""support_len"": 1}",-4.0
Alg2 CoherenceBlock Bc0.9,flat_ds1_d64_sf2,"{""bc_threshold"": 0.9, ""block_width_mhz"": 17.28, ""block_width_sc"": 576, ""cond_mean"": 1.0000000000000002, ""cond_number"": 1.0000000000000002, ""n_blocks"": 1}",-4.0
