algorithm,basis_energy_threshold,bc05_sc_original,bc09_sc_original,bc_threshold,block_width_mhz,block_width_sc,case_id,cdd_delay_ns,cdd_delay_samples,ce_nmse_branch_mean,ce_nmse_branch_median,ce_nmse_eff_mean,ce_nmse_eff_median,cond_mean,cond_number,covariance,delay_spread_ns,dmrs_spacing_sc,dmrs_symbols,effective_rank,family,n_blocks,n_prbs,n_sc,n_unknown_taps,noise_var_ls,overhead_mode,pilot_count,pilot_count_combined,pilot_count_per_port,processing_bandwidth_rb,processing_bandwidth_sc,snr_db,support_len,total_pilot_re_relative,trials
Alg1 Direct RMMSE WB 576sc,,,,,,,flat_ds1_d64_sf2,520.8333333333334,64,nan,nan,0.020012802470632616,0.020012802470632616,,,CDD-shifted PDP,1.0,2,2,,alg1_direct_rmmse,,48,576,,1.9905358527674861,,288,288,,48.0,576,-6.0,,,2
Alg2 Basis LMMSE E90,0.9,,,,,,flat_ds1_d64_sf2,520.8333333333334,64,0.02002472284389534,0.02002472284389534,0.020012803311124122,0.020012803311124122,,1.0000000000000007,,1.0,2,2,2.0,alg2_basis_reduced_support,,48,576,2,1.9905358527674861,,288,288,,,,-6.0,1,,2
Alg2 Basis LMMSE E95,0.95,,,,,,flat_ds1_d64_sf2,520.8333333333334,64,0.02002472284389534,0.02002472284389534,0.020012803311124122,0.020012803311124122,,1.0000000000000007,,1.0,2,2,2.0,alg2_basis_reduced_support,,48,576,2,1.9905358527674861,,288,288,,,,-6.0,1,,2
Alg2 Basis LMMSE E99,0.99,,,,,,flat_ds1_d64_sf2,520.8333333333334,64,0.02002472284389534,0.02002472284389534,0.020012803311124122,0.020012803311124122,,1.0000000000000007,,1.0,2,2,2.0,alg2_basis_reduced_support,,48,576,2,1.9905358527674861,,288,288,,,,-6.0,1,,2
Alg2 CoherenceBlock Bc0.9,,,,0.9,17.28,576,flat_ds1_d64_sf2,520.8333333333334,64,0.020024852818809797,0.020024852818809797,0.0200129335001245,0.0200129335001245,1.0000000000000002,1.0000000000000002,,1.0,2,2,,alg2_coherence_block,1,48,576,,1.9905358527674861,,,288,,,,-6.0,,,2
Alg3 Port-DMRS RMMSE equal-total,,,,,,,flat_ds1_d64_sf2,520.8333333333334,64,0.011363964947897098,0.011363964947897098,0.011364450459757057,0.011364450459757057,,,,1.0,2,2,,alg3_port_dmrs,,48,576,,1.9905358527674861,equal_total_overhead,,288,144,,,-6.0,,1.0,2
Alg3 Port-DMRS RMMSE equal-per-port,,,,,,,flat_ds1_d64_sf2,520.8333333333334,64,0.007216420463555117,0.007216420463555117,0.007210989206635373,0.007210989206635373,,,,1.0,2,2,,alg3_port_dmrs,,48,576,,1.9905358527674861,equal_per_port_density,,288,288,,,-6.0,,2.0,2
Alg1 Direct RMMSE WB 576sc,,,,,,,flat_ds1_d64_sf2,520.8333333333334,64,nan,nan,0.00599794319757279,0.00599794319757279,,,CDD-shifted PDP,1.0,2,2,,alg1_direct_rmmse,,48,576,,1.25594321575479,,288,288,,48.0,576,-4.0,,,2
Alg2 Basis LMMSE E90,0.9,,,,,,flat_ds1_d64_sf2,520.8333333333334,64,0.005997590511316009,0.005997590511316009,0.005997008176478899,0.005997008176478899,,1.0000000000000007,,1.0,2,2,2.0,alg2_basis_reduced_support,,48,576,2,1.25594321575479,,288,288,,,,-4.0,1,,2
Alg2 Basis LMMSE E95,0.95,,,,,,flat_ds1_d64_sf2,520.8333333333334,64,0.005997590511316009,0.005997590511316009,0.005997008176478899,0.005997008176478899,,1.0000000000000007,,1.0,2,2,2.0,alg2_basis_reduced_support,,48,576,2,1.25594321575479,,288,288,,,,-4.0,1,,2
Alg2 Basis LMMSE E99,0.99,,,,,,flat_ds1_d64_sf2,520.8333333333334,64,0.005997590511316009,0.005997590511316009,0.005997008176478899,0.005997008176478899,,1.0000000000000007,,1.0,2,2,2.0,alg2_basis_reduced_support,,48,576,2,1.25594321575479,,288,288,,,,-4.0,1,,2
Alg2 CoherenceBlock Bc0.9,,,,0.9,17.28,576,flat_ds1_d64_sf2,520.8333333333334,64,0.005997606988764139,0.005997606988764139,0.005997024685066084,0.005997024685066084,1.0000000000000002,1.0000000000000002,,1.0,2,2,,alg2_coherence_block,1,48,576,,1.25594321575479,,,288,,,,-4.0,,,2
Alg3 Port-DMRS RMMSE equal-total,,,,,,,flat_ds1_d64_sf2,520.8333333333334,64,0.007253796124739853,0.007253796124739853,0.00726314107340542,0.00726314107340542,,,,1.0,2,2,,alg3_port_dmrs,,48,576,,1.25594321575479,equal_total_overhead,,288,144,,,-4.0,,1.0,2
Alg3 Port-DMRS RMMSE equal-per-port,,,,,,,flat_ds1_d64_sf2,520.8333333333334,64,0.00517429638094076,0.00517429638094076,0.005179462652659712,0.005179462652659712,,,,1.0,2,2,,alg3_port_dmrs,,48,576,,1.25594321575479,equal_per_port_density,,288,288,,,-4.0,,2.0,2
Alg1 Direct RMMSE WB 576sc,,311,87,,,,ds30_d16_sf6,130.20833333333334,16,nan,nan,0.17965459450121438,0.17965459450121438,,,CDD-shifted PDP,30.0,6,2,,alg1_direct_rmmse,,48,576,,1.9905358527674861,,96,96,,48.0,576,-6.0,,,2
Alg2 Basis LMMSE E90,0.9,311,87,,,,ds30_d16_sf6,130.20833333333334,16,0.24473789812307986,0.24473789812307986,0.19650570526081226,0.19650570526081226,,6002204092074.051,,30.0,6,2,4.257352577093582,alg2_basis_reduced_support,,48,576,18,1.9905358527674861,,96,96,,,,-6.0,9,,2
Alg2 Basis LMMSE E95,0.95,311,87,,,,ds30_d16_sf6,130.20833333333334,16,0.22476938271740138,0.22476938271740138,0.18146544256459832,0.18146544256459832,,6004712903261.365,,30.0,6,2,4.656313421061663,alg2_basis_reduced_support,,48,576,24,1.9905358527674861,,96,96,,,,-6.0,12,,2
Alg2 Basis LMMSE E99,0.99,311,87,,,,ds30_d16_sf6,130.20833333333334,16,0.22224422372479347,0.22224422372479347,0.1798705728065555,0.1798705728065555,,6020979474557.117,,30.0,6,2,4.980125406923935,alg2_basis_reduced_support,,48,576,34,1.9905358527674861,,96,96,,,,-6.0,17,,2
Alg2 CoherenceBlock Bc0.9,,311,87,0.9,2.61,87,ds30_d16_sf6,130.20833333333334,16,0.589690657672967,0.589690657672967,0.2776517050472329,0.2776517050472329,3.4857149864592136,5.221511189288461,,30.0,6,2,,alg2_coherence_block,7,48,576,,1.9905358527674861,,,96,,,,-6.0,,,2
