algorithm,basis_energy_threshold,bc_g_0p5_sc,bc_g_0p9_sc,bc_h_0p5_sc,bc_h_0p9_sc,bc_threshold,block_width_mhz,block_width_sc,cdd_delay_ns,cdd_delay_samples,ce_nmse_branch_mean,ce_nmse_branch_median,ce_nmse_eff_mean,ce_nmse_eff_median,cond_mean,cond_number,covariance,delay_spread_ns,dmrs_overhead_alg1,dmrs_spacing_sc,dmrs_symbols,effective_rank,family,gain_vs_alg1_db,n_blocks,n_prbs,n_sc,n_unknown_taps,overhead_mode,pilot_count,pilot_count_combined,pilot_count_per_port,processing_bandwidth_rb,processing_bandwidth_sc,snr_db,support_len,total_dmrs_re_alg1,total_pilot_re_relative,trials
Alg1 Direct RMMSE WB 576sc,,86,37,,,,,,130.20833333333334,16,nan,nan,0.015163656320181075,0.014220370441432862,,,CDD-shifted PDP,1.0,0.1,2,2,,alg1_direct_rmmse,0.0,,48,576,,,288,288,,48.0,576,-6.0,,576,,50
Alg2 Basis LMMSE E90,0.9,86,37,,,,,,130.20833333333334,16,0.015305644379062327,0.014243082227675851,0.015163447749052967,0.014220580554781582,,1.1055920626291516,,1.0,0.1,2,2,1.9949828942684567,alg2_basis_reduced_support,5.9736194934158346e-05,,48,576,2,,288,288,,,,-6.0,1,576,,50
Alg2 Basis LMMSE E95,0.95,86,37,,,,,,130.20833333333334,16,0.015305644379062327,0.014243082227675851,0.015163447749052967,0.014220580554781582,,1.1055920626291516,,1.0,0.1,2,2,1.9949828942684567,alg2_basis_reduced_support,5.9736194934158346e-05,,48,576,2,,288,288,,,,-6.0,1,576,,50
Alg2 Basis LMMSE E99,0.99,86,37,,,,,,130.20833333333334,16,0.015305644379062327,0.014243082227675851,0.015163447749052967,0.014220580554781582,,1.1055920626291516,,1.0,0.1,2,2,1.9949828942684567,alg2_basis_reduced_support,5.9736194934158346e-05,,48,576,2,,288,288,,,,-6.0,1,576,,50
Alg2 CoherenceBlock Bc0.9,,86,37,,,0.9,17.28,576,130.20833333333334,16,0.015305667029495373,0.014243469454000256,0.015163464995686137,0.014220628286253837,1.1055920626291509,1.1055920626291509,,1.0,0.1,2,2,,alg2_coherence_block,5.479661029489751e-05,1,48,576,,,,288,,,,-6.0,,576,,50
Alg3 Port-DMRS RMMSE equal-total,,86,37,,,,,,130.20833333333334,16,0.014642748905709591,0.014252182109955316,0.014527472069180094,0.014353708107402732,,,,1.0,0.1,2,2,,alg3_port_dmrs,0.18613883580993004,,48,576,,equal_total_overhead,,288,144,,,-6.0,,576,1.0,50
Alg1 Direct RMMSE WB 576sc,,86,37,,,,,,130.20833333333334,16,nan,nan,0.0041286988963075465,0.003617261606765624,,,CDD-shifted PDP,1.0,0.1,2,2,,alg1_direct_rmmse,0.0,,48,576,,,288,288,,48.0,576,0.0,,576,,50
Alg2 Basis LMMSE E90,0.9,86,37,,,,,,130.20833333333334,16,0.004213728418093142,0.003820308978658299,0.004128969500385817,0.003616881077229702,,1.1055920626291516,,1.0,0.1,2,2,1.9949828942684567,alg2_basis_reduced_support,-0.0002846369032265113,,48,576,2,,288,288,,,,0.0,1,576,,50
Alg2 Basis LMMSE E95,0.95,86,37,,,,,,130.20833333333334,16,0.004213728418093142,0.003820308978658299,0.004128969500385817,0.003616881077229702,,1.1055920626291516,,1.0,0.1,2,2,1.9949828942684567,alg2_basis_reduced_support,-0.0002846369032265113,,48,576,2,,288,288,,,,0.0,1,576,,50
Alg2 Basis LMMSE E99,0.99,86,37,,,,,,130.20833333333334,16,0.004213728418093142,0.003820308978658299,0.004128969500385817,0.003616881077229702,,1.1055920626291516,,1.0,0.1,2,2,1.9949828942684567,alg2_basis_reduced_support,-0.0002846369032265113,,48,576,2,,288,288,,,,0.0,1,576,,50
Alg2 CoherenceBlock Bc0.9,,86,37,,,0.9,17.28,576,130.20833333333334,16,0.004213731635327088,0.0038203184985899424,0.004128972253570919,0.003616865437589983,1.1055920626291509,1.1055920626291509,,1.0,0.1,2,2,,alg2_coherence_block,-0.00028753276549671805,1,48,576,,,,288,,,,0.0,,576,,50
Alg3 Port-DMRS RMMSE equal-total,,86,37,,,,,,130.20833333333334,16,0.003811486278488491,0.003052707749122703,0.003827132709378596,0.0029590492456747315,,,,1.0,0.1,2,2,,alg3_port_dmrs,0.32939689127027744,,48,576,,equal_total_overhead,,288,144,,,0.0,,576,1.0,50
Alg1 Direct RMMSE WB 576sc,,86,37,,,,,,130.20833333333334,16,nan,nan,0.0006501317007731272,0.0006201137319359279,,,CDD-shifted PDP,1.0,0.1,2,2,,alg1_direct_rmmse,0.0,,48,576,,,288,288,,48.0,576,8.0,,576,,50
Alg2 Basis LMMSE E90,0.9,86,37,,,,,,130.20833333333334,16,0.0006629811220312292,0.0006003124453889755,0.0006510265597152469,0.0006191620181582092,,1.1055920626291516,,1.0,0.1,2,2,1.9949828942684567,alg2_basis_reduced_support,-0.005973637085025266,,48,576,2,,288,288,,,,8.0,1,576,,50
Alg2 Basis LMMSE E95,0.95,86,37,,,,,,130.20833333333334,16,0.0006629811220312292,0.0006003124453889755,0.0006510265597152469,0.0006191620181582092,,1.1055920626291516,,1.0,0.1,2,2,1.9949828942684567,alg2_basis_reduced_support,-0.005973637085025266,,48,576,2,,288,288,,,,8.0,1,576,,50
Alg2 Basis LMMSE E99,0.99,86,37,,,,,,130.20833333333334,16,0.0006629811220312292,0.0006003124453889755,0.0006510265597152469,0.0006191620181582092,,1.1055920626291516,,1.0,0.1,2,2,1.9949828942684567,alg2_basis_reduced_support,-0.005973637085025266,,48,576,2,,288,288,,,,8.0,1,576,,50
Alg2 CoherenceBlock Bc0.9,,86,37,,,0.9,17.28,576,130.20833333333334,16,0.0006629810326281001,0.0006003111771515069,0.0006510264908715293,0.0006191607928627954,1.1055920626291509,1.1055920626291509,,1.0,0.1,2,2,,alg2_coherence_block,-0.005973177834203134,1,48,576,,,,288,,,,8.0,,576,,50
Alg3 Port-DMRS RMMSE equal-total,,86,37,,,,,,130.20833333333334,16,0.000666034198824413,0.0006533446388603107,0.0006639928319710596,0.0006134142662677408,,,,1.0,0.1,2,2,,alg3_port_dmrs,-0.09162048046904822,,48,576,,equal_total_overhead,,288,144,,,8.0,,576,1.0,50
Alg1 Direct RMMSE WB 576sc,,86,37,,,,,,130.20833333333334,16,nan,nan,0.03067002212002456,0.024016883297124106,,,CDD-shifted PDP,1.0,0.05,4,2,,alg1_direct_rmmse,0.0,,48,576,,,144,144,,48.0,576,-6.0,,288,,50
Alg2 Basis LMMSE E90,0.9,86,37,,,,,,130.20833333333334,16,0.03087791869429854,0.0259181387234275,0.030670353587670854,0.02401743883339184,,1.1056257236019111,,1.0,0.05,4,2,1.9949798631582816,alg2_basis_reduced_support,-4.693631822570557e-05,,48,576,2,,144,144,,,,-6.0,1,288,,50
Alg2 Basis LMMSE E95,0.95,86,37,,,,,,130.20833333333334,16,0.03087791869429854,0.0259181387234275,0.030670353587670854,0.02401743883339184,,1.1056257236019111,,1.0,0.05,4,2,1.9949798631582816,alg2_basis_reduced_support,-4.693631822570557e-05,,48,576,2,,144,144,,,,-6.0,1,288,,50
Alg2 Basis LMMSE E99,0.99,86,37,,,,,,130.20833333333334,16,0.03087791869429854,0.0259181387234275,0.030670353587670854,0.02401743883339184,,1.1056257236019111,,1.0,0.05,4,2,1.9949798631582816,alg2_basis_reduced_support,-4.693631822570557e-05,,48,576,2,,144,144,,,,-6.0,1,288,,50
Alg2 CoherenceBlock Bc0.9,,86,37,,,0.9,17.28,576,130.20833333333334,16,0.030877865461830623,0.025917861026987357,0.03067032007848801,0.024017254930020857,1.1056257236019114,1.1056257236019114,,1.0,0.05,4,2,,alg2_coherence_block,-4.219139048615875e-05,1,48,576,,,,144,,,,-6.0,,288,,50
Alg3 Port-DMRS RMMSE equal-total,,86,37,,,,,,130.20833333333334,16,0.0296965281736081,0.026278232740438515,0.029995050091756247,0.02693729222103943,,,,1.0,0.05,4,2,,alg3_port_dmrs,0.09664497660980911,,48,576,,equal_total_overhead,,144,72,,,-6.0,,288,1.0,50
Alg1 Direct RMMSE WB 576sc,,86,37,,,,,,130.20833333333334,16,nan,nan,0.007755783800584258,0.006643263619456501,,,CDD-shifted PDP,1.0,0.05,4,2,,alg1_direct_rmmse,0.0,,48,576,,,144,144,,48.0,576,0.0,,288,,50
Alg2 Basis LMMSE E90,0.9,86,37,,,,,,130.20833333333334,16,0.007787860662614883,0.006791388972026684,0.007755854701997646,0.006643221894204407,,1.1056257236019111,,1.0,0.05,4,2,1.9949798631582816,alg2_basis_reduced_support,-3.970192135246446e-05,,48,576,2,,144,144,,,,0.0,1,288,,50
Alg2 Basis LMMSE E95,0.95,86,37,,,,,,130.20833333333334,16,0.007787860662614883,0.006791388972026684,0.007755854701997646,0.006643221894204407,,1.1056257236019111,,1.0,0.05,4,2,1.9949798631582816,alg2_basis_reduced_support,-3.970192135246446e-05,,48,576,2,,144,144,,,,0.0,1,288,,50
Alg2 Basis LMMSE E99,0.99,86,37,,,,,,130.20833333333334,16,0.007787860662614883,0.006791388972026684,0.007755854701997646,0.006643221894204407,,1.1056257236019111,,1.0,0.05,4,2,1.9949798631582816,alg2_basis_reduced_support,-3.970192135246446e-05,,48,576,2,,144,144,,,,0.0,1,288,,50
Alg2 CoherenceBlock Bc0.9,,86,37,,,0.9,17.28,576,130.20833333333334,16,0.007787872445035629,0.006791324425989984,0.007755867231498742,0.0066432160089172475,1.1056257236019114,1.1056257236019114,,1.0,0.05,4,2,,alg2_coherence_block,-4.671789702540257e-05,1,48,576,,,,144,,,,0.0,,288,,50
Alg3 Port-DMRS RMMSE equal-total,,86,37,,,,,,130.20833333333334,16,0.007465182486145944,0.006874897740062204,0.007447435652224728,0.0067592025909238625,,,,1.0,0.05,4,2,,alg3_port_dmrs,0.1761893474162765,,48,576,,equal_total_overhead,,144,72,,,0.0,,288,1.0,50
Alg1 Direct RMMSE WB 576sc,,86,37,,,,,,130.20833333333334,16,nan,nan,0.0011918158812359817,0.0011035853997631755,,,CDD-shifted PDP,1.0,0.05,4,2,,alg1_direct_rmmse,0.0,,48,576,,,144,144,,48.0,576,8.0,,288,,50
Alg2 Basis LMMSE E90,0.9,86,37,,,,,,130.20833333333334,16,0.0011952712121544892,0.0010679577158441166,0.0011923331236839757,0.0011034213802235543,,1.1056257236019111,,1.0,0.05,4,2,1.9949798631582816,alg2_basis_reduced_support,-0.0018844086005587947,,48,576,2,,144,144,,,,8.0,1,288,,50
Alg2 Basis LMMSE E95,0.95,86,37,,,,,,130.20833333333334,16,0.0011952712121544892,0.0010679577158441166,0.0011923331236839757,0.0011034213802235543,,1.1056257236019111,,1.0,0.05,4,2,1.9949798631582816,alg2_basis_reduced_support,-0.0018844086005587947,,48,576,2,,144,144,,,,8.0,1,288,,50
Alg2 Basis LMMSE E99,0.99,86,37,,,,,,130.20833333333334,16,0.0011952712121544892,0.0010679577158441166,0.0011923331236839757,0.0011034213802235543,,1.1056257236019111,,1.0,0.05,4,2,1.9949798631582816,alg2_basis_reduced_support,-0.0018844086005587947,,48,576,2,,144,144,,,,8.0,1,288,,50
Alg2 CoherenceBlock Bc0.9,,86,37,,,0.9,17.28,576,130.20833333333334,16,0.0011952716658848819,0.0010679509057159523,0.001192333745223641,0.0011034149816096257,1.1056257236019114,1.1056257236019114,,1.0,0.05,4,2,,alg2_coherence_block,-0.0018866724911721668,1,48,576,,,,144,,,,8.0,,288,,50
Alg3 Port-DMRS RMMSE equal-total,,86,37,,,,,,130.20833333333334,16,0.0012557825126334147,0.001106521549294654,0.0012770280612087815,0.0010821936677380545,,,,1.0,0.05,4,2,,alg3_port_dmrs,-0.2999127227847029,,48,576,,equal_total_overhead,,144,72,,,8.0,,288,1.0,50
Alg1 Direct RMMSE WB 576sc,,86,37,,,,,,130.20833333333334,16,nan,nan,0.05063307374292613,0.04322213731240107,,,CDD-shifted PDP,1.0,0.03333333333333333,6,2,,alg1_direct_rmmse,0.0,,48,576,,,96,96,,48.0,576,-6.0,,192,,50
Alg2 Basis LMMSE E90,0.9,86,37,,,,,,130.20833333333334,16,0.05067095934526958,0.04367022711279061,0.050633166315725335,0.04322041731964871,,1.105681859518191,,1.0,0.03333333333333333,6,2,1.9949748064147332,alg2_basis_reduced_support,-7.940228815958931e-06,,48,576,2,,96,96,,,,-6.0,1,192,,50
Alg2 Basis LMMSE E95,0.95,86,37,,,,,,130.20833333333334,16,0.05067095934526958,0.04367022711279061,0.050633166315725335,0.04322041731964871,,1.105681859518191,,1.0,0.03333333333333333,6,2,1.9949748064147332,alg2_basis_reduced_support,-7.940228815958931e-06,,48,576,2,,96,96,,,,-6.0,1,192,,50
Alg2 Basis LMMSE E99,0.99,86,37,,,,,,130.20833333333334,16,0.05067095934526958,0.04367022711279061,0.050633166315725335,0.04322041731964871,,1.105681859518191,,1.0,0.03333333333333333,6,2,1.9949748064147332,alg2_basis_reduced_support,-7.940228815958931e-06,,48,576,2,,96,96,,,,-6.0,1,192,,50
