algorithm,basis_energy_threshold,bc_g_0p5_sc,bc_g_0p9_sc,bc_h_0p5_sc,bc_h_0p9_sc,bc_threshold,block_width_mhz,block_width_sc,cdd_delay_ns,cdd_delay_samples,ce_nmse_branch_mean,ce_nmse_branch_median,ce_nmse_eff_mean,ce_nmse_eff_median,cond_mean,cond_number,delay_spread_ns,dmrs_overhead_alg1,dmrs_spacing_sc,dmrs_symbols,effective_rank,family,gain_vs_alg1_db,n_blocks,n_prbs,n_sc,n_unknown_taps,overhead_mode,pilot_count,pilot_count_combined,pilot_count_per_port,snr_db,support_len,total_dmrs_re_alg1,total_pilot_re_relative,trials
Alg3 Port-DMRS RMMSE equal-total,,22,10,,,,,,520.8333333333334,64,0.04301025468496125,0.036492928198450195,0.042974617857797506,0.03662595940121392,,,5.0,0.05,4,2,,alg3_port_dmrs,0.7365658456426725,,48,576,,equal_total_overhead,,144,72,-6.0,,288,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,22,10,,,,,,520.8333333333334,64,0.01025191571526332,0.009016045261001016,0.010255149071720706,0.009026063421451826,,,1.0,0.03333333333333333,6,2,,alg3_port_dmrs,0.6730884786791813,,48,576,,equal_total_overhead,,96,48,0.0,,192,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,11,5,,,,,,1041.6666666666667,128,0.029201711803241586,0.024377507107560967,0.02920088128024964,0.024377774353711093,,,1.0,0.05,4,2,,alg3_port_dmrs,0.6308468780733772,,48,576,,equal_total_overhead,,144,72,-6.0,,288,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,11,5,,,,,,1041.6666666666667,128,0.0016211765908521213,0.0014734443585162696,0.0016209926454025022,0.0014753890574723105,,,1.0,0.03333333333333333,6,2,,alg3_port_dmrs,0.5486244884264323,,48,576,,equal_total_overhead,,96,48,8.0,,192,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,6,3,,,,,,2083.3333333333335,256,0.0038232584708481777,0.0034780094527982267,0.0038235360750412074,0.003481041329872114,,,1.0,0.1,2,2,,alg3_port_dmrs,0.46571311873301346,,48,576,,equal_total_overhead,,288,144,0.0,,576,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,11,5,,,,,,1041.6666666666667,128,0.0071038482882508705,0.006507154911417331,0.007100017911413615,0.006502337932887759,,,5.0,0.016666666666666666,12,2,,alg3_port_dmrs,0.44807123486091005,,48,576,,equal_total_overhead,,48,24,8.0,,96,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,22,10,311,87,,,,520.8333333333334,64,0.11191587946214417,0.1069249688954934,0.11207863483347326,0.10707934885442441,,,30.0,0.03333333333333333,6,2,,alg3_port_dmrs,0.44139206601077186,,48,576,,equal_total_overhead,,96,48,-6.0,,192,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,22,10,,267,,,,520.8333333333334,64,0.008514121310848373,0.008287385371103559,0.008500111746851106,0.008199715580382287,,,10.0,0.1,2,2,,alg3_port_dmrs,0.41026223034070003,,48,576,,equal_total_overhead,,288,144,0.0,,576,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,85,37,,267,,,,130.20833333333334,16,0.041551915521802554,0.037470392143794745,0.04071301661334398,0.03704744960370361,,,10.0,0.016666666666666666,12,2,,alg3_port_dmrs,0.3859213592340174,,48,576,,equal_total_overhead,,48,24,0.0,,96,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,43,19,,267,,,,260.4166666666667,32,0.0035727306971135736,0.003152773246812554,0.0035375169163021345,0.003200284472576272,,,10.0,0.05,4,2,,alg3_port_dmrs,0.38100887761692026,,48,576,,equal_total_overhead,,144,72,8.0,,288,1.0,50
