algorithm,basis_energy_threshold,bc_g_0p5_sc,bc_g_0p9_sc,bc_h_0p5_sc,bc_h_0p9_sc,bc_threshold,block_width_mhz,block_width_sc,cdd_delay_ns,cdd_delay_samples,ce_nmse_branch_mean,ce_nmse_branch_median,ce_nmse_eff_mean,ce_nmse_eff_median,cond_mean,cond_number,covariance,delay_spread_ns,dmrs_overhead_alg1,dmrs_spacing_sc,dmrs_symbols,effective_rank,family,gain_vs_alg1_db,n_blocks,n_prbs,n_sc,n_unknown_taps,overhead_mode,pilot_count,pilot_count_combined,pilot_count_per_port,processing_bandwidth_rb,processing_bandwidth_sc,snr_db,support_len,total_dmrs_re_alg1,total_pilot_re_relative,trials
Alg1 Direct RMMSE WB 576sc,,22,10,,267,,,,520.8333333333334,64,nan,nan,0.015511800296368878,0.0154811901443065,,,CDD-shifted PDP,10.0,0.05,4,2,,alg1_direct_rmmse,0.0,,48,576,,,144,144,,48.0,576,0.0,,288,,30
Alg2 Basis LMMSE E50,0.5,22,10,,267,,,,520.8333333333334,64,0.10004502647399366,0.09773209522401943,0.09963812300974356,0.09844961833311905,,1.0000000000000004,,10.0,0.05,4,2,2.0000000000000004,alg2_basis_reduced_support,-8.077633328027837,,48,576,2,,144,144,,,,0.0,1,288,,30
Alg2 Basis LMMSE E70,0.7,22,10,,267,,,,520.8333333333334,64,0.02900688066188429,0.027120723768469246,0.028772546986561665,0.026373955554681264,,8.540564748895648,,10.0,0.05,4,2,2.463687296806352,alg2_basis_reduced_support,-2.683161030864076,,48,576,4,,144,144,,,,0.0,2,288,,30
Alg2 Basis LMMSE E90,0.9,22,10,,267,,,,520.8333333333334,64,0.020333422596364573,0.0206784181675428,0.020123323614458035,0.019898868917341904,,86.26232285608869,,10.0,0.05,4,2,2.7398223325970013,alg2_basis_reduced_support,-1.1303750651702165,,48,576,6,,144,144,,,,0.0,3,288,,30
Alg2 Basis LMMSE E95,0.95,22,10,,267,,,,520.8333333333334,64,0.01774668100357455,0.018129511343755764,0.017568323862097272,0.01817094196464407,,936.4548148206494,,10.0,0.05,4,2,2.9417553653327047,alg2_basis_reduced_support,-0.5406812394902482,,48,576,8,,144,144,,,,0.0,4,288,,30
Alg2 Basis LMMSE E99,0.99,22,10,,267,,,,520.8333333333334,64,0.01594805622830279,0.01585946668859403,0.015801053434823683,0.01583936181818351,,131023.06839065734,,10.0,0.05,4,2,3.189623748782138,alg2_basis_reduced_support,-0.08023836876809143,,48,576,12,,144,144,,,,0.0,6,288,,30
Alg2 CoherenceBlock Bc0.9,,22,10,,267,0.9,8.01,267,520.8333333333334,64,0.04563656438526976,0.04411076012967334,0.043774509294247546,0.04232862507989196,1.2533188722302586,1.673062962464248,,10.0,0.05,4,2,,alg2_coherence_block,-4.505590815385873,3,48,576,,,,144,,,,0.0,,288,,30
Alg3 Port-DMRS RMMSE equal-total,,22,10,,267,,,,520.8333333333334,64,0.01615625542636055,0.015536603157699037,0.01612201823866723,0.015405909314536975,,,,10.0,0.05,4,2,,alg3_port_dmrs,-0.16757203262307718,,48,576,,equal_total_overhead,,144,72,,,0.0,,288,1.0,30
Alg1 Direct RMMSE WB 576sc,,22,10,,267,,,,520.8333333333334,64,nan,nan,0.02452124772950293,0.022416926264528576,,,CDD-shifted PDP,10.0,0.03333333333333333,6,2,,alg1_direct_rmmse,0.0,,48,576,,,96,96,,48.0,576,0.0,,192,,30
Alg2 Basis LMMSE E50,0.5,22,10,,267,,,,520.8333333333334,64,0.10150013718152127,0.09472526271477866,0.10094519260604835,0.0945177124058097,,1.0,,10.0,0.03333333333333333,6,2,2.0,alg2_basis_reduced_support,-6.1454307613951675,,48,576,2,,96,96,,,,0.0,1,192,,30
