algorithm,basis_energy_threshold,bc_g_0p5_sc,bc_g_0p9_sc,bc_h_0p5_sc,bc_h_0p9_sc,bc_threshold,block_width_mhz,block_width_sc,cdd_delay_ns,cdd_delay_samples,ce_nmse_branch_mean,ce_nmse_branch_median,ce_nmse_eff_mean,ce_nmse_eff_median,cond_mean,cond_number,covariance,delay_spread_ns,dmrs_overhead_alg1,dmrs_spacing_sc,dmrs_symbols,effective_rank,family,gain_vs_alg1_db,n_blocks,n_prbs,n_sc,n_unknown_taps,overhead_mode,pilot_count,pilot_count_combined,pilot_count_per_port,processing_bandwidth_rb,processing_bandwidth_sc,snr_db,support_len,total_dmrs_re_alg1,total_pilot_re_relative,trials
Alg1 Direct RMMSE WB 576sc,,22,10,,,,,,520.8333333333334,64,nan,nan,0.011910367532762343,0.011910367532762343,,,CDD-shifted PDP,1.0,0.03333333333333333,6,2,,alg1_direct_rmmse,0.0,,48,576,,,96,96,,48.0,576,0.0,,192,,2
Alg2 Basis LMMSE E90,0.9,22,10,,,,,,520.8333333333334,64,0.011904950864176783,0.011904950864176783,0.011910246901499492,0.011910246901499492,,1.0,,1.0,0.03333333333333333,6,2,2.0,alg2_basis_reduced_support,4.3986683840947114e-05,,48,576,2,,96,96,,,,0.0,1,192,,2
Alg2 Basis LMMSE E95,0.95,22,10,,,,,,520.8333333333334,64,0.011904950864176783,0.011904950864176783,0.011910246901499492,0.011910246901499492,,1.0,,1.0,0.03333333333333333,6,2,2.0,alg2_basis_reduced_support,4.3986683840947114e-05,,48,576,2,,96,96,,,,0.0,1,192,,2
Alg2 Basis LMMSE E99,0.99,22,10,,,,,,520.8333333333334,64,0.011904950864176783,0.011904950864176783,0.011910246901499492,0.011910246901499492,,1.0,,1.0,0.03333333333333333,6,2,2.0,alg2_basis_reduced_support,4.3986683840947114e-05,,48,576,2,,96,96,,,,0.0,1,192,,2
Alg2 CoherenceBlock Bc0.9,,22,10,,,0.9,17.28,576,520.8333333333334,64,0.01190487294889853,0.01190487294889853,0.011910168819745093,0.011910168819745093,1.0000000000000002,1.0000000000000002,,1.0,0.03333333333333333,6,2,,alg2_coherence_block,7.245845819638234e-05,1,48,576,,,,96,,,,0.0,,192,,2
Alg3 Port-DMRS RMMSE equal-total,,22,10,,,,,,520.8333333333334,64,0.010234871392258663,0.010234871392258663,0.010240552065872273,0.010240552065872273,,,,1.0,0.03333333333333333,6,2,,alg3_port_dmrs,0.6560179325563826,,48,576,,equal_total_overhead,,96,48,,,0.0,,192,1.0,2
Alg1 Direct RMMSE WB 576sc,,11,5,,,,,,1041.6666666666667,128,nan,nan,0.010980392458899143,0.010980392458899143,,,CDD-shifted PDP,1.0,0.03333333333333333,6,2,,alg1_direct_rmmse,0.0,,48,576,,,96,96,,48.0,576,0.0,,192,,2
Alg2 Basis LMMSE E90,0.9,11,5,,,,,,1041.6666666666667,128,0.010981815512123128,0.010981815512123128,0.01098039586412055,0.01098039586412055,,1.0000000000000004,,1.0,0.03333333333333333,6,2,2.0000000000000004,alg2_basis_reduced_support,-1.3468267575635161e-06,,48,576,2,,96,96,,,,0.0,1,192,,2
Alg2 Basis LMMSE E95,0.95,11,5,,,,,,1041.6666666666667,128,0.010981815512123128,0.010981815512123128,0.01098039586412055,0.01098039586412055,,1.0000000000000004,,1.0,0.03333333333333333,6,2,2.0000000000000004,alg2_basis_reduced_support,-1.3468267575635161e-06,,48,576,2,,96,96,,,,0.0,1,192,,2
Alg2 Basis LMMSE E99,0.99,11,5,,,,,,1041.6666666666667,128,0.010981815512123128,0.010981815512123128,0.01098039586412055,0.01098039586412055,,1.0000000000000004,,1.0,0.03333333333333333,6,2,2.0000000000000004,alg2_basis_reduced_support,-1.3468267575635161e-06,,48,576,2,,96,96,,,,0.0,1,192,,2
